product_title,product_id,new_title,new_price,new_template
Print Paradise 3 Items,1337218170972,Print Paradise (the July Collection 2018),49.95,past-collection.bra
Seeing Stars 3 Items,1337218859100,Seeing Stars (the July Collection 2018),49.95,past-collection.bra
Vitamin Sea 3 Items,1337219186780,Vitamin Sea (the July Collection 2018),49.95,past-collection.bra
